entity_name,entity_id,relation,relation_id
manulife aset manajemen,0,PERUSAHAAN,0
dimas ardinugraha,1,ORANG,1
ihsg,2,INDIKATOR_EKONOMI,2
indeks bindo,3,INDIKATOR_EKONOMI,2
investor,4,ORANG,1
strategi diversifikasi,5,KONSEP,3
prabowo subianto,6,ORANG,1
danantara,7,BADAN_REGULATOR,4
badan pengelola investasi,8,BADAN_REGULATOR,4
ray dalio,9,ORANG,1
badan pengelolaan investasi daya anagata nusantara (bpi danantara),10,BADAN_REGULATOR,4
otoritas jasa keuangan (ojk),11,BADAN_REGULATOR,4
indeks harga saham,12,INDIKATOR_EKONOMI,2
kota jambi,13,KOTA,5
cv surya permata,14,PERUSAHAAN,0
andi putra,15,PERUSAHAAN,0
blerent villa,16,PRODUK,6
gunung manahan city 5,17,PRODUK,6
sukuk tabungan,18,PRODUK,6
pemerintah,19,PEMERINTAHAN,7
sukuk tabungan st014,20,PRODUK,6
mitra distribusi resmi,21,ORGANISASI,8
kupon st014,22,PRODUK,6
apple,23,PERUSAHAAN,0
kementerian perindustrian,24,PEMERINTAHAN,7
kemenperin,25,PEMERINTAHAN,7
bri,26,PERUSAHAAN,0
brimo,27,PRODUK,6
emas,28,PRODUK,6
investasi emas,29,KONSEP,3
pegadaian,30,PERUSAHAAN,0
bri group,31,PERUSAHAAN,0
holding ultra mikro (umi),32,ORGANISASI,8
otortitas jasa keuangan (ojk),33,BADAN_REGULATOR,4
pegawai,34,ORGANISASI,8
komisi pemberantasan korupsi,35,BADAN_REGULATOR,4
fadlul imansyah,36,ORANG,1
nelwin aldriansyah,37,ORANG,1
kpk,38,BADAN_REGULATOR,4
iim,39,PERUSAHAAN,0
taspen,40,PERUSAHAAN,0
antonious ns kosasih,41,ORANG,1
bank negara indonesia tbk,42,PERUSAHAAN,0
royke tumilaar,43,ORANG,1
hussein paolo kartadjoemena,44,ORANG,1
indonesia,45,NEGARA,9
presiden prabowo subianto,46,ORANG,1
delapan pengusaha besar,47,ORANG,1
badan pengelola investasi daya anagata nusantara (bpi danantara),48,BADAN_REGULATOR,4
dony oskaria,49,ORANG,1
pandu sjahrir,50,ORANG,1
sekretariat kabinet,51,ORGANISASI,8
rosan perkasa roeslani,52,ORANG,1
pertemuan,53,EVENT,10
prabowo,54,ORANG,1
inflasi,55,INDIKATOR_EKONOMI,2
bunga zainal,56,ORANG,1
polda metro jaya,57,PEMERINTAHAN,7
prinsip 40/30/20/10,58,KONSEP,3
keseimbangan,59,KONSEP,3
nikita mirzani,60,ORANG,1
aaacd,61,ORANG,1
sfss,62,ORANG,1
soimah,63,ORANG,1
dwi rahayu,64,ORANG,1
abung nugraha fauzi,65,ORANG,1
majelis hakim,66,ORGANISASI,8
104 korban,67,ORANG,1
bank,68,PERUSAHAAN,0
gading permai 2,69,PRODUK,6
kabupaten bangka selatan,70,WILAYAH,11
sistem informasi kumpulan,71,KONSEP,3
maesa bangun sejahtera,72,PERUSAHAAN,0
mahoni residence,73,PRODUK,6
bangka indo properti,74,PERUSAHAAN,0
parit indah permai,75,PRODUK,6
tri asikiareka bersama,76,PERUSAHAAN,0
bsi atm emas,77,PRODUK,6
bank syariah indonesia tbk,78,PERUSAHAAN,0
bsi,79,PERUSAHAAN,0
mckinsey,80,ORGANISASI,8
tabungan emas,81,PRODUK,6
deposito emas,82,PRODUK,6
reksa dana indeks,83,PRODUK,6
saham,84,PRODUK,6
rapat umum pemegang,85,EVENT,10
investasi saham,86,KONSEP,3
ojk,87,BADAN_REGULATOR,4
etf berbasis indeks,88,INSTRUMEN_FINANSIAL,12
lakuemas,89,PERUSAHAAN,0
bullion bank,90,PERUSAHAAN,0
kabupaten belitung,91,KOTA,5
intan pelangi belitung,92,PERUSAHAAN,0
pelangi residence,93,PRODUK,6
putra perkasa properti,94,PERUSAHAAN,0
perumahan kebun jeruk,95,PRODUK,6
belitung island residence,96,PRODUK,6
yuta indah sentosa,97,PERUSAHAAN,0
sun life indonesia,98,PERUSAHAAN,0
cimb niaga,99,PERUSAHAAN,0
octavianus ariwan,100,ORANG,1
mckinsey global wealth 2023,101,KONSEP,3
boston consulting group,102,KONSEP,3
2 tersangka,103,ORANG,1
investasi bodong,104,KONSEP,3
rencana pembangunan jangka,105,KONSEP,3
otorita ikn,106,ORGANISASI,8
proyek ibu kota nusantara,107,PRODUK,6
badan usaha milik negara,108,ORGANISASI,8
kementerian pekerjaan umum,109,PEMERINTAHAN,7
tahun 2025,110,KONSEP,3
basuki hadimuljono,111,ORANG,1
perusahaan,112,PERUSAHAAN,0
universitas negeri surabaya,113,PERUSAHAAN,0
makmur berkah hotel,114,PERUSAHAAN,0
citadel group indonesia,115,PERUSAHAAN,0
vitka delifood,116,PERUSAHAAN,0
puri persada lampung,117,PERUSAHAAN,0
sektor swasta,118,SEKTOR,13
investasi swasta murni,119,INDIKATOR_EKONOMI,2
piko alam jaya,120,PERUSAHAAN,0
kabupaten bintan,121,WILAYAH,11
pembangunan perumahan nasional,122,PERUSAHAAN,0
perumnas baru bumi,123,PRODUK,6
satria seraya,124,PERUSAHAAN,0
kijang seraya,125,PRODUK,6
permata indah 1,126,PRODUK,6
bank jago,127,PERUSAHAAN,0
bank jago tbk,128,PERUSAHAAN,0
waasi sumintardja,129,ORANG,1
waasi,130,ORANG,1
green energy summit,131,EVENT,10
anthony utomo,132,ORANG,1
kamar dagang industri,133,ORGANISASI,8
tiga aspek utama,134,KONSEP,3
green energy investment day,135,EVENT,10
energi hijau,136,KONSEP,3
data center,137,PRODUK,6
pabrik penghasil green,138,PERUSAHAAN,0
pembangkit-pembangkit baru,139,KONSEP,3
eramet,140,PERUSAHAAN,0
elnusa tbk,141,PERUSAHAAN,0
auliya agung moga jaya,142,PERUSAHAAN,0
instan cempaka mandiri,143,PERUSAHAAN,0
sinar suman pryanto,144,PERUSAHAAN,0
kabupaten karimun,145,WILAYAH,11
nasabah,146,ORANG,1
investment goals,147,KONSEP,3
bca,148,PERUSAHAAN,0
bank central asia tbk,149,PERUSAHAAN,0
thong guan industries bhd,150,PERUSAHAAN,0
kjri penang,151,ORGANISASI,8
wanton saragih,152,ORANG,1
kementerian investasi,153,PEMERINTAHAN,7
