subject_entity_id,relation_id,object_entity_id,temporal_id
0,0,10203,0
1,1,244,0
1,1,16606,0
1,1,16607,0
1,1,3573,0
1,1,16608,0
2,1,16609,0
3,1,16610,0
4,2,16611,0
5,3,16612,0
1,4,5,0
6,3,16613,0
7,5,16614,0
6,0,8,0
8,6,16615,0
6,7,16616,0
6,0,9,0
6,8,10,0
9,4,10,0
10,1,417,0
6,9,16617,0
9,4,16618,0
11,8,496,0
11,8,714,0
11,3,14389,0
11,8,587,0
12,10,16619,0
13,11,770,0
13,11,16620,0
14,12,16,0
15,12,17,0
16,13,11231,0
17,13,16621,0
18,14,4515,0
19,0,16622,0
18,15,16623,0
20,16,3501,0
21,17,19,0
22,18,16624,0
4,19,16625,0
4,20,22,0
23,9,45,0
24,4,16626,0
24,0,16627,0
23,9,930,0
23,0,1373,0
23,2,16628,0
25,16,16629,0
26,2,30,0
27,21,391,0
27,0,81,0
27,4,29,0
28,1,2728,0
29,4,16630,0
30,22,31,0
31,8,32,0
32,1,9105,0
33,0,16631,0
34,4,16632,0
35,23,16633,0
35,23,16634,0
36,14,35,0
37,14,35,0
38,24,41,0
39,25,16635,0
40,1,16636,0
40,3,568,0
41,26,16637,0
38,24,999,0
42,0,16638,0
43,9,16639,0
44,9,16639,0
45,4,16640,0
45,4,3372,0
46,27,47,0
45,4,730,0
46,0,16641,0
47,22,45,0
46,0,160,0
45,4,8373,0
8,8,47,0
6,2,52,0
6,21,11820,0
48,3,16642,0
48,0,16643,0
6,0,48,0
49,22,48,0
50,22,48,0
6,1,1739,0
51,0,53,0
52,22,48,0
19,3,16644,0
53,1,19,0
19,4,16645,0
54,4,3372,0
6,0,47,0
8,5,277,0
19,21,4550,0
28,16,5871,0
28,1,16646,0
28,4,277,0
55,4,1157,0
28,27,16647,0
56,28,104,0
56,29,104,0
57,9,56,0
57,30,104,0
56,28,61,0
56,28,62,0
58,4,16648,0
58,1,16649,0
58,31,455,0
58,31,922,0
59,14,58,0
60,32,16650,0
57,21,10147,0
56,0,7983,0
56,33,104,0
56,28,16651,0
56,0,60,0
56,34,414,0
56,35,2632,0
61,14,16652,0
62,14,16652,0
56,29,16653,0
63,3,1516,0
64,0,6346,0
64,5,271,0
64,21,16654,0
65,36,16655,0
66,37,13828,0
67,38,414,0
68,9,16656,0
69,11,16657,0
69,21,16658,0
70,11,16620,0
71,1,70,0
70,11,770,0
72,12,69,0
73,21,16658,0
74,12,75,0
73,11,16659,0
75,21,16658,0
75,11,16660,0
76,39,73,0
77,8,45,0
77,16,432,0
78,0,16661,0
78,0,16662,0
78,0,1766,0
78,12,595,0
78,0,77,0
78,0,16663,0
79,12,13846,0
79,16,16664,0
45,16,16665,0
78,3,16666,0
45,1,28,0
45,40,16667,0
80,1,16668,0
79,31,16669,0
30,13,82,0
28,16,16670,0
30,13,81,0
81,41,16671,0
81,42,16672,0
81,4,16673,0
82,43,16674,0
82,44,16675,0
82,43,16676,0
81,45,16677,0
83,9,84,0
84,4,14720,0
84,16,16678,0
85,14,16679,0
86,46,16680,0
87,0,16681,0
88,9,84,0
84,16,2141,0
89,8,16682,0
90,0,16683,0
90,16,16684,0
90,1,16685,0
90,1,16686,0
90,1,16687,0
90,1,16688,0
89,0,1602,0
89,3,1797,0
89,21,16689,0
19,31,16690,0
19,31,6116,0
89,2,16691,0
89,9,16692,0
91,16,770,0
91,4,16693,0
92,12,93,0
93,16,16694,0
94,12,96,0
95,16,16695,0
96,16,16696,0
97,12,95,0
98,27,16697,0
99,0,16698,0
98,27,16699,0
100,0,10203,0
101,0,16700,0
102,0,16701,0
98,1,16702,0
56,0,16703,0
56,33,924,0
56,28,104,0
103,4,56,0
104,4,103,0
56,4,924,0
57,42,56,0
57,47,103,0
103,21,104,0
56,42,16704,0
56,9,414,0
105,3,3791,0
106,8,2542,0
105,3,16705,0
105,3,16706,0
107,21,16707,0
107,16,16708,0
6,0,107,0
108,8,2542,0
109,8,2542,0
110,1,105,0
111,48,3093,0
112,9,16709,0
113,9,16710,0
