relation,relation_id
Mengumumkan,0
Menghasilkan,1
Mengendalikan,2
Meningkatkan,3
Mempengaruhi,4
Mengelola,5
DibangunUntuk,6
Mengundang,7
Berpartisipasi,8
BerinvestasiDi,9
Menguat,10
Menawarkan,11
Mengembangkan,12
Menyediakan,13
Menjadi,14
DikelolaOleh,15
Memiliki,16
BekerjaSamaDengan,17
Bersifat,18
Melakukan,19
Menerima,20
BeroperasiDi,21
AnggotaDari,22
Mendalami,23
Menahan,24
Mendapatkan,25
Merugikan,26
Memperkenalkan,27
Melaporkan,28
Menggugat,29
Menyelidiki,30
Mendukung,31
Ditangkap,32
Mengalami,33
Menyatakan,34
Mengenal,35
Mengajukan,36
Mengadili,37
Menghadapi,38
Membangun,39
Menduduki,40
Memungkinkan,41
TerkaitDengan,42
Memberikan,43
Menyimpan,44
Dapat dicairkan,45
Membutuhkan,46
Menetapkan,47
Menyebut,48
Menargetkan,49
Mencapai,50
Menggunakan,51
Mengajak,52
Mengadakan,53
Mengungkapkan,54
Menggelar,55
Mencakup,56
Harus,57
Menyerap,58
Mendorong,59
Memperkuat,60
Mengalokasikan,61
DirancangUntuk,62
Membantu,63
Mengambil,64
Menipu,65
Memerlukan,66
DilihatSebagai,67
Mengonfirmasi,68
Meluncurkan,69
Mengoptimalkan,70
Berdiri,71
DikembangkanOleh,72
MelaporKe,73
Menutup,74
Menghilangkan,75
Menginstruksikan,76
Menerbitkan,77
Menyetujui,78
Mengadopsi,79
Berkomitmen,80
Meresmikan,81
Mengandung,82
Bentuk,83
Memenuhi,84
TerdiriDari,85
Berisi,86
Menghadiri,87
Didampingi,88
Menurunkan,89
Dikaitkan dengan,90
Mencatat,91
Melindungi,92
Melihat,93
Menjual,94
Memilih,95
Memudahkan,96
Mengurangi,97
Dinilai,98
Bergantung,99
Dibentuk,100
Sebagai,101
Meminjam,102
Mewakili,103
Memfasilitasi,104
Memproses,105
Berjanji,106
Mengapresiasi,107
Menyita,108
Mengevaluasi,109
Menciptakan,110
Menerapkan,111
Mengeluarkan,112
Mengawasi,113
DiselenggarakanDi,114
Menjabat,115
Mengimbau,116
Mengimpor,117
Memerintahkan,118
Membahas,119
Membuat,120
Mengadukan,121
Mitigasi,122
Berkomunikasi,123
Menghapus,124
Menyikapi,125
Menghitung,126
Menggelontorkan,127
Menambah,128
Mengimplementasikan,129
Membantah,130
Ditunjuk,131
Mengusung,132
Menanamkan,133
Dijadikan,134
Mengambil tindakan terhadap,135
Mengharapkan,136
Menandatangani,137
Mendirikan,138
MenyambutBaik,139
Mengamankan,140
DiawasiOleh,141
BertanggungJawabAtas,142
Mendekati,143
Berpandangan,144
Berkontribusi,145
Mempercepat,146
Menjajaki,147
Mengombinasikan,148
Menganggarkan,149
Diluncurkan,150
Berencana,151
Dapatkan,152
Disahkan,153
Menuturkan,154
Mengacu pada,155
Mengkonsolidasikan,156
Bergabung,157
Membuka,158
Mengarahkan,159
Memimpin,160
BerdomisiliDi,161
Memegang,162
BergabungDalam,163
BerfokusPada,164
MenjabatSebagai,165
MenunjukSebagai,166
MiripDengan,167
DidampingiOleh,168
Mengubah,169
BerfungsiSebagai,170
Mendapat,171
Mitra,172
Membidangi,173
Mempersiapkan,174
BergabungDengan,175
Mengonsolidasikan,176
Memastikan,177
Mampu,178
Diharapkan,179
Mengayomi,180
Mampu Menarik,181
Memperluas,182
Mengukur,183
Memprioritaskan,184
DibentukUntuk,185
Menjamin,186
Mengganggu,187
Mendesak,188
Membayar,189
Menyelesaikan,190
Menentukan,191
Dikembangkan oleh,192
Berperan Dalam,193
Diproses,194
Mengacu,195
Termasuk,196
Menyinggung,197
Mengeluh,198
Mengantisipasi,199
Dari,200
Dengan,201
Setara dengan,202
Membagikan,203
Mengusut,204
Bersama,205
Menarik,206
Berupaya,207
Membiayai,208
DigunakanUntuk,209
Melapor,210
Berharap,211
Menyiapkan,212
Menyepakati,213
Menolak,214
Berkoordinasi,215
Memanggil,216
Berminat,217
DikaitkanDengan,218
DipimpinOleh,219
Bergantung pada,220
Menggantikan,221
Mengisahkan,222
Menghindari,223
Mempromosikan,224
BersumberDari,225
Menginisiasi,226
Menghambat,227
Mengakui,228
Menyarankan,229
Meyakinkan,230
Berperan,231
Meyakini,232
BeradaDi,233
BerlokasiDi,234
Menata ulang,235
Mengurus,236
Ditargetkan,237
Meminta,238
Berfokus,239
BerbedaDengan,240
Perlu,241
Menekankan,242
Mencanangkan,243
Mengupayakan,244
Mencerminkan,245
DiluncurkanDi,246
Menguntungkan,247
DijualDi,248
Mentransfer,249
Tidak Mengembalikan,250
Melayangkan,251
Mencatut,252
Memasuki,253
Memberi,254
Mengirim,255
DibangunOleh,256
Menyayangkan,257
BerkaryaSamaDengan,258
Menyoroti,259
Mengakumulasi,260
TermasukDalam,261
BerfungsiUntuk,262
Sebesar,263
Mengotorisasi,264
Menunjuk,265
TerletakDi,266
DibentukOleh,267
Bermitra,268
Mempererat,269
Mempertahankan,270
Merencanakan,271
BerkomunikasiDengan,272
Menghubungi,273
Bertemu dengan,274
Mengintroduksi,275
Menangkap,276
Menempati,277
Tumbuh,278
BerasalDari,279
Membongkar,280
Dibagi,281
BerperanSebagai,282
MenengahKeAtasMencari,283
Dalam,284
Dikenalkan,285
Diberikan,286
Mengajarkan,287
Mencari,288
Memperoleh,289
DitunjukSebagai,290
BerkoordinasiDengan,291
Diperdagangkan,292
Mengawali,293
Tersedia,294
Tersedia melalui,295
Terjual,296
Dirancang dengan,297
Berdiskusi,298
Mempelajari,299
DijaminOleh,300
Mengakses,301
Menyisakan,302
MenarikPerhatian,303
Minta,304
Melibatkan,305
Menjalin,306
Memperbaiki,307
Menemukan,308
Menghentikan,309
BerkordinasiDengan,310
Menekan,311
Mencegah,312
Menempatkan,313
Menyuplai,314
BerdiskusiDengan,315
MendapatKeuntunganDari,316
Memprediksi,317
Salah satu platform utama dari,318
Menanyakan,319
Menyebutkan,320
DiperdagangkanDi,321
Menyaksikan,322
Diperkenalkan,323
Menunjukkan,324
Memproyeksikan,325
Mengincar,326
Diterbitkan oleh,327
Digunakan untuk,328
Menyelenggarakan,329
Dilakukan,330
Mencabut,331
Berupa,332
DibeliOleh,333
DibuatOleh,334
Berlangsung,335
BisaDibeliPada,336
DitunjukOleh,337
Mengintruksikan,338
Stabil,339
Mendongkrak,340
Berhasil,341
Mempertanyakan,342
Mengidentifikasi,343
Menyumbang,344
Mendatangkan,345
Ingin,346
Yakin,347
Mengintegrasikan,348
Terletak di,349
Berada di,350
Memberdayakan,351
Memajukan,352
MengundurkanDiri,353
Memfokuskan,354
Memulai,355
Memperhatikan,356
Memperingatkan,357
Diatur dalam,358
DiaturDalam,359
DitujukanUntuk,360
Memeriksa,361
Merekomendasikan,362
Menunggu,363
Mengawal,364
Melarang,365
Membentuk,366
Mengemukakan,367
Menilai,368
Bernegosiasi,369
Menyuguhkan,370
DigunakanOleh,371
Mengirimkan,372
Memberikan kontribusi,373
Mempekerjakan,374
Bertemu,375
Membeli,376
Berasal dari,377
Berencana membangun,378
Berkeinginan,379
Didirikan Oleh,380
Memanfaatkan,381
Mengikat,382
Dijanjikan,383
TidakAda,384
Memasarkan,385
Menangani,386
Melemah,387
Memantau,388
DiselenggarakanOleh,389
Berubah,390
Hadir,391
Dijadwalkan,392
Mengindikasikan,393
DiberikanUntuk,394
Menggarisbawahi,395
Menghubungkan,396
Mengangkat,397
Membawa,398
Berinovasi,399
Berhati-hati,400
DigunakanSebagai,401
Diperkirakan,402
Membenarkan,403
Merevisi,404
Mengkaji,405
Mengunjungi,406
Memperkirakan,407
Dipandang,408
Dibandingkan,409
Mencetak,410
Mencatatkan,411
Menyentuh,412
Mengenai,413
Menghimpun,414
