subject,subject_type,relation,object,object_type,date
pt manulife aset manajemen indonesia,PERUSAHAAN,Mengumumkan,diversifikasi investasi,KONSEP,2025-03-07 21:18:00
ihsg,INDIKATOR_EKONOMI,Menghasilkan,pertumbuhan tahunan tertinggi,INDIKATOR_EKONOMI,2025-03-07 21:18:00
strategi diversifikasi,KONSEP,Meningkatkan,peluang return,KONSEP,2025-03-07 21:18:00
investor,ORANG,Mengendalikan,berbagai jenis aset investasi,KONSEP,2025-03-07 21:18:00
dimas ardinugraha,ORANG,Mempengaruhi,strategi diversifikasi,KONSEP,2025-03-07 21:18:00
indeks bindo,INDIKATOR_EKONOMI,Menghasilkan,pertumbuhan tertinggi,INDIKATOR_EKONOMI,2025-03-07 21:18:00
dimas ardinugraha,ORANG,Mengaitkan,suku bunga,INDIKATOR_EKONOMI,2025-03-07 21:18:00
dimas ardinugraha,ORANG,Mengaitkan,kinerja emiten,KONSEP,2025-03-07 21:18:00
dimas ardinugraha,ORANG,Mengaitkan,kondisi geopolitik,KONSEP,2025-03-07 21:18:00
dimas ardinugraha,ORANG,Mengaitkan,siklus pasar,KONSEP,2025-03-07 21:18:00
dimas ardinugraha,ORANG,Mengaitkan,sentimen pasar,KONSEP,2025-03-07 21:18:00
prabowo subianto,ORANG,Mengumumkan,badan pengelola investasi danantara,BADAN_REGULATOR,2025-03-07 20:39:00
prabowo subianto,ORANG,Mengumumkan,nasihat kritis dari sosok investor tingkat global ray dalio,KONSEP,2025-03-07 19:53:00
prabowo subianto,ORANG,Berpartisipasi,badan pengelolaan investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,2025-03-07 19:53:00
ray dalio,ORANG,Mempengaruhi,badan pengelolaan investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,2025-03-07 19:53:00
badan pengelolaan investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,Mengaitkan,pengalaman mengembangkan badan pengelolaan investasi lainnya di tingkat global,KONSEP,2025-03-07 19:53:00
prabowo subianto,ORANG,BerinvestasiDi,pengusaha dan jajaran pejabat di indonesia,ORGANISASI,2025-03-07 19:53:00
ray dalio,ORANG,BerdampakPositif,pemerintah dan para pengusaha indonesia,ORGANISASI,2025-03-07 19:53:00
otoritas jasa keuangan (ojk),BADAN_REGULATOR,Berpartisipasi,bank indonesia,BADAN_REGULATOR,2025-03-07 18:41:00
otoritas jasa keuangan (ojk),BADAN_REGULATOR,Berpartisipasi,lps,BADAN_REGULATOR,2025-03-07 18:41:00
otoritas jasa keuangan (ojk),BADAN_REGULATOR,Meningkatkan,kepercayaan pasar,KONSEP,2025-03-07 18:41:00
otoritas jasa keuangan (ojk),BADAN_REGULATOR,Berpartisipasi,kementerian keuangan,BADAN_REGULATOR,2025-03-07 18:41:00
pemerintah,PEMERINTAHAN,Mengumumkan,masa penawaran sukuk tabungan seri st014,PRODUK,2025-03-07 15:57:00
apple,PERUSAHAAN,BerinvestasiDi,batam,KOTA,2025-03-07 14:09:00
apple,PERUSAHAAN,Mengendalikan,investasi inovasi,KONSEP,2025-03-07 14:09:00
kemenperin,PEMERINTAHAN,Memiliki,skema investasi,KONSEP,2025-03-07 14:09:00
apple,PERUSAHAAN,Mengumumkan,iphone 16,PRODUK,2025-03-07 14:09:00
kementerian perindustrian,PEMERINTAHAN,Mempengaruhi,vendor elektronik,SEKTOR,2025-03-07 14:09:00
kementerian perindustrian,PEMERINTAHAN,Mengumumkan,sertifikasi tingkat komponen dalam negeri,KONSEP,2025-03-07 14:09:00
apple,PERUSAHAAN,BerinvestasiDi,indonesia,NEGARA,2025-03-07 14:09:00
pegawai,ORGANISASI,BerdampakNegatif,ekonomi global,KONSEP,2025-03-07 14:01:00
otortitas jasa keuangan (ojk),BADAN_REGULATOR,Mengumumkan,berita investasi,KONSEP,2025-03-07 14:01:00
holding ultra mikro (umi),ORGANISASI,Mengaitkan,pt permodalan nasional madani (pnm),PERUSAHAAN,2025-03-07 14:01:00
bri group,ORGANISASI,Berpartisipasi,holding ultra mikro (umi),ORGANISASI,2025-03-07 14:01:00
pegadaian,PERUSAHAAN,AnggotaDari,bri group,ORGANISASI,2025-03-07 14:01:00
bri,PERUSAHAAN,Mengendalikan,pegadaian,PERUSAHAAN,2025-03-07 14:01:00
investasi emas,KONSEP,BerdampakPositif,nilai aset,KONSEP,2025-03-07 14:01:00
emas,PRODUK,Menghasilkan,harga,INDIKATOR_EKONOMI,2025-03-07 14:01:00
brimo,PRODUK,Mempengaruhi,investasi emas,KONSEP,2025-03-07 14:01:00
brimo,PRODUK,Mengumumkan,tabungan emas,PRODUK,2025-03-07 14:01:00
brimo,PRODUK,BeroperasiDi,pt bank rakyat indonesia (persero) tbk,PERUSAHAAN,2025-03-07 14:01:00
pt taspen,PERUSAHAAN,Meningkatkan,dana investasi,INSTRUMEN_FINANSIAL,2025-03-07 13:27:00
pt taspen (persero),PERUSAHAAN,Menghasilkan,kerugian keuangan negara,INDIKATOR_EKONOMI,2025-03-07 13:27:00
pt bank negara indonesia (persero) tbk,PERUSAHAAN,Mengumumkan,pembelian saham oleh dua direksinya,KONSEP,2025-03-07 10:31:00
royke tumilaar,ORANG,BerinvestasiDi,saham bbni,PRODUK,2025-03-07 10:31:00
hussein paolo kartadjoemena,ORANG,BerinvestasiDi,saham bbni,PRODUK,2025-03-07 10:31:00
indonesia,NEGARA,Mempengaruhi,energi,SEKTOR,2025-03-07 08:00:00
presiden prabowo subianto,ORANG,Mengumumkan,program-program utama,KONSEP,2025-03-07 08:00:00
presiden prabowo subianto,ORANG,Mengumumkan,program makan bergizi gratis,KONSEP,2025-03-07 08:00:00
badan pengelola investasi daya anagata nusantara,ORGANISASI,Berpartisipasi,delapan pengusaha besar,ORANG,2025-03-07 08:00:00
delapan pengusaha besar,ORANG,AnggotaDari,indonesia,NEGARA,2025-03-07 08:00:00
indonesia,NEGARA,Mempengaruhi,swasembada pangan,SEKTOR,2025-03-07 08:00:00
indonesia,NEGARA,Mempengaruhi,infrastruktur,SEKTOR,2025-03-07 08:00:00
presiden prabowo subianto,ORANG,Memperkenalkan,delapan pengusaha besar,ORANG,2025-03-07 08:00:00
indonesia,NEGARA,Mempengaruhi,industri tekstil,SEKTOR,2025-03-07 08:00:00
rosan p roeslani,ORANG,AnggotaDari,badan pengelola investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,2025-03-07 05:15:00
sekretariat kabinet,ORGANISASI,Mengumumkan,pertemuan,EVENT,2025-03-07 05:15:00
prabowo subianto,ORANG,Mengaitkan,pengusaha,ORANG,2025-03-07 05:15:00
pandu sjahrir,ORANG,AnggotaDari,badan pengelola investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,2025-03-07 05:15:00
dony oskaria,ORANG,AnggotaDari,badan pengelola investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,2025-03-07 05:15:00
prabowo subianto,ORANG,Mengendalikan,rosan p roeslani,ORANG,2025-03-07 05:15:00
prabowo subianto,ORANG,Mengumumkan,badan pengelola investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,2025-03-07 05:15:00
badan pengelola investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,Mengumumkan,makan bergizi gratis,KONSEP,2025-03-07 05:15:00
